 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000   10.0000   10.0000    3.7444    0.5957    4.4015    0.0000  1.0000E-10      0.0000  2.6735E+03
    1.2144    1.0000    9.9977    9.9977    3.7544    0.6064    4.3987    0.0000  1.0000E-10      0.0000  2.6037E+03
    2.4293    1.0000    9.9954    9.9954    3.7655    0.6172    4.3961    0.0000  1.0000E-10     -0.0005  2.5340E+03
    3.6447    1.0000    9.9929    9.9929    3.7777    0.6281    4.3936    0.0000  1.0000E-10     -0.0016  2.4639E+03
    4.8606    1.0000    9.9903    9.9903    3.7910    0.6394    4.3913    0.0000  1.0000E-10     -0.0033  2.3928E+03
    6.0771    1.0000    9.9875    9.9875    3.8054    0.6511    4.3891    0.0000  1.0000E-10     -0.0058  2.3202E+03
    7.2943    1.0000    9.9845    9.9845    3.8209    0.6633    4.3868    0.0000  1.0000E-10     -0.0091  2.2456E+03
    8.5120    1.0000    9.9813    9.9813    3.8375    0.6762    4.3846    0.0000  1.0000E-10     -0.0133  2.1687E+03
    9.7305    1.0000    9.9779    9.9779    3.8553    0.6897    4.3822    0.0000  1.0000E-10     -0.0186  2.0889E+03
   10.9498    1.0000    9.9742    9.9742    3.8741    0.7041    4.3797    0.0000  1.0000E-10     -0.0251  2.0061E+03
   12.1699    1.0000    9.9702    9.9702    3.8939    0.7194    4.3770    0.0000  1.0000E-10     -0.0331  1.9197E+03
   13.3908    1.0000    9.9658    9.9658    3.9149    0.7359    4.3740    0.0000  1.0000E-10     -0.0427  1.8294E+03
   14.6127    1.0000    9.9610    9.9610    3.9369    0.7538    4.3706    0.0000  1.0000E-10     -0.0544  1.7346E+03
   15.8357    1.0000    9.9558    9.9558    3.9600    0.7733    4.3666    0.0000  1.0000E-10     -0.0685  1.6342E+03
   17.0598    1.0000    9.9499    9.9499    3.9841    0.7951    4.3617    0.0000  1.0000E-10     -0.0854  1.5270E+03
   18.2853    1.0000    9.9434    9.9434    4.0093    0.8200    4.3556    0.0000  1.0000E-10     -0.1057  1.4107E+03
   19.5122    1.0000    9.9361    9.9361    4.0354    0.8493    4.3475    0.0000  1.0000E-10     -0.1304  1.2825E+03
   20.7408    1.0000    9.9277    9.9277    4.0625    0.8849    4.3365    0.0000  1.0000E-10     -0.1604  1.1387E+03
   21.8555    1.0000    9.9189    9.9189    4.0879    0.9252    4.3226    0.0000  1.0000E-10     -0.1939  9.9151E+02
   22.7436    1.0000    9.9108    9.9108    4.1086    0.9650    4.3079    0.0000  1.0000E-10     -0.2266  8.6162E+02
   23.4747    1.0000    9.9032    9.9032    4.1259    1.0044    4.2925    0.0000  1.0000E-10     -0.2587  7.4662E+02
   24.4604    1.0000    9.8916    9.8916    4.2259    0.9727    4.3334    0.0000  1.0000E-10     -0.3093  8.1117E+02
   24.4625    1.0000    9.8915    9.8915    4.2272    0.9703    4.3349    0.0000  1.0000E-10     -0.3094  8.1741E+02
   24.4625    2.0000    9.8915    9.8915    4.2272    0.9703    4.3349    2.1213  1.0000E-10     -0.3094  1.0380E+03
   24.4645    2.0000    9.8915    9.8915    4.2191    1.0114    4.3124    2.1226  1.0000E-10     -0.3096  9.0684E+02
   24.4665    2.0000    9.8915    9.8915    4.2109    1.0524    4.2898    2.1239  1.0000E-10     -0.3097  7.8920E+02
   24.4685    2.0000    9.8914    9.8914    4.2028    1.0934    4.2673    2.1253  1.0000E-10     -0.3098  6.8434E+02
   24.4705    2.0000    9.8914    9.8914    4.1946    1.1344    4.2447    2.1266  1.0000E-10     -0.3100  5.9138E+02
   24.4725    2.0000    9.8914    9.8914    4.1865    1.1754    4.2222    2.1279  1.0000E-10     -0.3102  5.0942E+02
   24.4745    2.0000    9.8913    9.8913    4.1783    1.2164    4.1996    2.1292  1.0000E-10     -0.3103  4.3750E+02
   24.4765    2.0000    9.8913    9.8913    4.1702    1.2574    4.1771    2.1305  1.0000E-10     -0.3105  3.7470E+02
   24.4785    2.0000    9.8912    9.8912    4.1620    1.2984    4.1546    2.1318  1.0000E-10     -0.3107  3.2011E+02
   24.4805    2.0000    9.8912    9.8912    4.1539    1.3394    4.1320    2.1331  1.0000E-10     -0.3109  2.7283E+02
   24.4826    2.0000    9.8912    9.8912    4.1457    1.3804    4.1095    2.1345  1.0000E-10     -0.3112  2.3204E+02
   24.4846    2.0000    9.8911    9.8911    4.1375    1.4215    4.0869    2.1358  1.0000E-10     -0.3114  1.9697E+02
   24.4866    2.0000    9.8911    9.8911    4.1294    1.4625    4.0644    2.1371  1.0000E-10     -0.3116  1.6691E+02
   24.4886    2.0000    9.8910    9.8910    4.1212    1.5035    4.0418    2.1384  1.0000E-10     -0.3119  1.4121E+02
   24.4906    2.0000    9.8909    9.8909    4.1131    1.5445    4.0193    2.1397  1.0000E-10     -0.3121  1.1931E+02
   24.4926    2.0000    9.8909    9.8909    4.1049    1.5855    3.9968    2.1410  1.0000E-10     -0.3124  1.0067E+02
   24.4946    2.0000    9.8908    9.8908    4.0968    1.6265    3.9742    2.1423  1.0000E-10     -0.3127  8.4848E+01
   24.4966    2.0000    9.8907    9.8907    4.0886    1.6675    3.9517    2.1436  1.0000E-10     -0.3130  7.1441E+01
   24.4986    2.0000    9.8907    9.8907    4.0805    1.7085    3.9291    2.1449  1.0000E-10     -0.3134  6.0098E+01
