 Time(Myr)  Type  Mass(Msun)  Mdot(Msun/yr)
  0.00000000        1  39.9900017    0.00000000  
 0.236426130        1  39.8811760    4.60286600E-07
 0.473248661        1  39.7665367    4.84080942E-07
 0.710491955        1  39.6455917    5.09780705E-07
 0.948182642        1  39.5177879    5.37688209E-07
  1.18635023        1  39.3824768    5.68147868E-07
  1.42502713        1  39.2388992    6.01552529E-07
  1.66424966        1  39.0861893    6.38351366E-07
  1.90405869        1  38.9233437    6.79060463E-07
  2.14449978        1  38.7491989    7.24277811E-07
  2.38562465        1  38.5623970    7.74709065E-07
  2.62749243        1  38.3613548    8.31211878E-07
  2.87017059        1  38.1441879    8.94877644E-07
  3.11373734        1  37.9086151    9.67179972E-07
  3.35828328        1  37.6517792    1.05024492E-06
  3.60391593        1  37.3699570    1.14733314E-06
  3.84429097        1  37.0661964    1.26370117E-06
  4.04118729        1  36.7897797    1.40386112E-06
  4.20496988        1  36.5364418    1.54681027E-06
  4.34391356        1  36.3011284    1.69356906E-06
  4.46409369        1  36.0793304    1.84556006E-06
  4.56986332        1  35.8673401    2.00425507E-06
  4.66437340        1  35.6621552    2.17106094E-06
  4.81629801        1  35.3055344    2.34735626E-06
  4.84095955        1  35.2388496    2.70397868E-06
  4.85425282        1  35.2019119    2.77857271E-06
  4.86356544        1  35.1761932    2.76168612E-06
  4.87079144        1  35.1568413    2.67818928E-06
  4.87392759        1  35.1488113    2.55959299E-06
  4.87392807        2  35.1488113    2.49229515E-06
  4.87408209        2  35.1479492    5.61704064E-06
  4.87423563        2  35.1470833    5.61785919E-06
  4.87438965        2  35.1462212    5.61867273E-06
  4.87454319        2  35.1453552    5.61948127E-06
  4.87469673        2  35.1444931    5.62028481E-06
  4.87485075        2  35.1436272    5.62108335E-06
  4.87500429        2  35.1427650    5.62187688E-06
  4.87515831        2  35.1418991    5.62266496E-06
  4.87531185        2  35.1410370    5.62344849E-06
  4.87546539        2  35.1401711    5.62422656E-06
  4.87561941        2  35.1393051    5.62500009E-06
  4.87577295        2  35.1384392    5.63897675E-06
  4.87592697        2  35.1375046    6.08350729E-06
  4.87608051        2  35.1364937    6.56308157E-06
  4.87623405        2  35.1354065    7.08046173E-06
  4.87638807        2  35.1342316    7.63862954E-06
  4.87654161        2  35.1329651    8.24079962E-06
  4.87669563        2  35.1315994    8.89044077E-06
  4.87684917        2  35.1301231    9.59129829E-06
  4.87700272        2  35.1285324    1.03474076E-05
  4.87715673        2  35.1268196    1.11631271E-05
  4.87731028        2  35.1249657    1.20431569E-05
  4.87746429        2  35.1229706    1.29925675E-05
  4.87761784        2  35.1208153    1.40168313E-05
  4.87777138        2  35.1184883    1.51218510E-05
  4.87792540        2  35.1159821    1.63139957E-05
  4.87807894        2  35.1132774    1.76001377E-05
  4.87823248        2  35.1103592    1.89876919E-05
  4.87838650        2  35.1072083    2.04846565E-05
  4.87854004        2  35.1038132    2.20996662E-05
  4.87869358        2  35.1001472    2.38420325E-05
  4.87884760        2  35.0961952    2.57218071E-05
  4.87900114        2  35.0919266    2.77498330E-05
  4.87915516        2  35.0873260    2.99378135E-05
  4.87930870        2  35.0823631    3.22983760E-05
  4.87946224        2  35.0770073    3.48451467E-05
  4.87961626        2  35.0712280    3.75928284E-05
  4.87976980        2  35.0649948    4.05573010E-05
  4.87992334        2  35.0582695    4.37556810E-05
  4.88007689        2  35.0510139    4.72064639E-05
  4.88023090        2  35.0431862    5.09295969E-05
  4.88038445        2  35.0347595    5.49466204E-05
  4.88043356        4  35.0318260    5.92725555E-05
  4.88600159        4  34.6936340    6.07389120E-05
  4.89156961        4  34.3534088    6.11039723E-05
  4.89713764        4  34.0111313    6.14722885E-05
  4.90263700        4  33.6710205    6.18439080E-05
  4.90804911        4  33.3343086    6.22142397E-05
  4.91337585        4  33.0009651    6.25819011E-05
  4.91861820        4  32.6709557    6.29468996E-05
  4.92377901        4  32.3442459    6.33092350E-05
  4.92885923        4  32.0208054    6.36689147E-05
  4.93386030        4  31.7005959    6.40259314E-05
  4.93878412        4  31.3835907    6.43802778E-05
  4.94363260        4  31.0697536    6.47319612E-05
  4.94840670        4  30.7590561    6.50809743E-05
  4.95310783        4  30.4514656    6.54273099E-05
  4.95773745        4  30.1469517    6.57709679E-05
  4.96229744        4  29.8454819    6.61119338E-05
  4.96678925        4  29.5470276    6.64502077E-05
  4.97121334        4  29.2515564    6.67857676E-05
  4.97557116        4  28.9590416    6.71186135E-05
  4.97986507        4  28.6694508    6.74487310E-05
  4.98409510        4  28.3827553    6.77760981E-05
  4.98826265        4  28.0989285    6.81007150E-05
  4.99236917        4  27.8179398    6.84225452E-05
  4.99641609        4  27.5397606    6.87415813E-05
  5.00040388        4  27.2643623    6.90578090E-05
  5.00433445        4  26.9917183    6.93711918E-05
  5.00820780        4  26.7218018    6.96817151E-05
  5.01202583        4  26.4545841    6.99893426E-05
  5.01578903        4  26.1900368    7.02940597E-05
  5.01949883        4  25.9281368    7.05958228E-05
  5.02315617        4  25.6688557    7.08946100E-05
  5.02676201        4  25.4121666    7.11903776E-05
  5.03031683        4  25.1580448    7.14830894E-05
  5.03382206        4  24.9064655    7.17727089E-05
  5.03727865        4  24.6574001    7.20591925E-05
  5.04068708        4  24.4108257    7.23424819E-05
  5.04404831        4  24.1667175    7.26225408E-05
  5.04736328        4  23.9250507    7.28993036E-05
  5.05063295        4  23.6858006    7.31727268E-05
  5.05385828        4  23.4489422    7.34427376E-05
  5.05703926        4  23.2144527    7.37092705E-05
  5.06017780        4  22.9823093    7.39722673E-05
  5.06327391        4  22.7524853    7.42316333E-05
  5.06632853        4  22.5249615    7.44873032E-05
  5.06934214        4  22.2997112    7.47391896E-05
  5.07231569        4  22.0767136    7.49871979E-05
  5.07525063        4  21.8559475    7.52312262E-05
  5.07814646        4  21.6373882    7.54711800E-05
  5.08100462        4  21.4210129    7.57069356E-05
  5.08382511        4  21.2068024    7.59383693E-05
  5.08660936        4  20.9947357    7.61653646E-05
  5.08935785        4  20.7847881    7.63877761E-05
  5.09207106        4  20.5769405    7.66054436E-05
  5.09474993        4  20.3711700    7.68182217E-05
  5.09739447        4  20.1674595    7.70259212E-05
  5.10000610        4  19.9657841    7.72283674E-05
  5.10258484        4  19.7661266    7.74253494E-05
  5.10513115        4  19.5684662    7.76166489E-05
  5.10764647        4  19.3727798    7.78020258E-05
  5.11013079        4  19.1790524    7.79812253E-05
  5.11258459        4  18.9872627    7.81539566E-05
  5.11500931        4  18.7973900    7.83199212E-05
  5.11740446        4  18.6094151    7.84787844E-05
  5.11977100        4  18.4233208    7.86301753E-05
  5.12210989        4  18.2390881    7.87736863E-05
  5.12442112        4  18.0566978    7.89088808E-05
  5.12670565        4  17.8761311    7.90352642E-05
  5.12896442        4  17.6973686    7.91522907E-05
  5.13119698        4  17.5203953    7.92593637E-05
  5.13340521        4  17.3451920    7.93557992E-05
  5.13558817        4  17.1717396    7.94408406E-05
  5.13774776        4  17.0000229    7.95136439E-05
  5.13988447        4  16.8300228    7.95732412E-05
  5.14199829        4  16.6617222    7.96185341E-05
  5.14409018        4  16.4951038    7.96482782E-05
  5.14616060        4  16.3301544    7.96610111E-05
  5.14821100        4  16.1668530    7.96550667E-05
  5.15024137        4  16.0051842    7.96284658E-05
  5.15225220        4  15.8451319    7.95788947E-05
  5.15424538        4  15.6866808    7.95035521E-05
  5.15622091        4  15.5298138    7.93990839E-05
  5.15818024        4  15.3745155    7.92613355E-05
  5.16012430        4  15.2207699    7.90851045E-05
  5.16205454        4  15.0685625    7.88637626E-05
  5.16397190        4  14.9178772    7.85885495E-05
  5.16587830        4  14.7686977    7.82475836E-05
  5.16777611        4  14.6210108    7.78239701E-05
  5.16966772        4  14.4748011    7.72921849E-05
  5.17155695        4  14.3300533    7.66105222E-05
  5.17344999        4  14.1867523    7.57022935E-05
  5.17535686        4  14.0448847    7.44006975E-05
  5.17730093        4  13.9044361    7.22374316E-05
  5.17936850        4  13.7653913    5.57375861E-05
  5.18083191        4  13.7004604    4.43777317E-05
  5.18114948        4  13.6902714    3.20793297E-05
  5.18140364        4  13.6821537    3.19278151E-05
  5.18162823        4  13.6750317    3.17000413E-05
  5.18184280        4  13.6683083    3.13533819E-05
  5.18206453        4  13.6614847    3.07965092E-05
  5.18229294        4  13.6546755    2.98128289E-05
  5.18259287        4  13.6462469    2.80653967E-05
  5.18319654        4  13.6316528    2.41768375E-05
  5.18352509        7  13.6259060    5.39662460E-06
  5.19138288        7  13.4896469    1.73402223E-05
  5.19931602        7  13.3547506    1.70043259E-05
  5.20732594        7  13.2212029    1.66732480E-05
  5.21541357        7  13.0889912    1.63469631E-05
  5.22358131        7  12.9581013    1.60254494E-05
  5.23183012        7  12.8285198    1.57086833E-05
  5.24016237        7  12.7002344    1.53966375E-05
